,,,,Resident population at the beginning of the year | persons
,,Females,2016,2527
,Klaipėda county,Males,2016,27507
,,Females,2016,26230
,Klaipėda c. mun.,Males,2016,13177
,,Females,2016,12441
,Klaipėda d. mun.,Males,2016,4952
,,Females,2016,4606
,Kretinga d. mun.,Males,2016,3253
,,Females,2016,3130
,Neringa mun.,Males,2016,245
,,Females,2016,213
,Palanga t. mun.,Males,2016,1131
,,Females,2016,1102
,Skuodas d. mun.,Males,2016,1278
,,Females,2016,1353
,Šilutė d. mun.,Males,2016,3471
,,Females,2016,3385
,Marijampolė county,Males,2016,12321
,,Females,2016,11508
,Kalvarija mun.,Males,2016,1064
,,Females,2016,973
,Kazlų Rūda mun.,Males,2016,1102
,,Females,2016,996
,Marijampolė mun.,Males,2016,4707
,,Females,2016,4355
,Marijampolė d. mun.,Males,2016,
,,Females,2016,
,Šakiai d. mun.,Males,2016,2338
,,Females,2016,2244
,Vilkaviškis d. mun.,Males,2016,3110
,,Females,2016,2940
,Panevėžys county,Males,2016,17127
,,Females,2016,16340
,Biržai d. mun.,Males,2016,1870
,,Females,2016,1661
,Kupiškis d. mun.,Males,2016,1245
,,Females,2016,1318
,Panevėžys c. mun.,Males,2016,7127
,,Females,2016,6788
,Panevėžys d. mun.,Males,2016,2831
,,Females,2016,2636
,Pasvalys d. mun.,Males,2016,1953
,,Females,2016,1909
,Rokiškis d. mun.,Males,2016,2101
,,Females,2016,2028
,Šiauliai county,Males,2016,21404
,,Females,2016,20506
,Akmenė d. mun.,Males,2016,1580
,,Females,2016,1472
,Joniškis d. mun.,Males,2016,1768
,,Females,2016,1641
,Kelmė d. mun.,Males,2016,2060
,,Females,2016,1982
,Pakruojis d. mun.,Males,2016,1562
,,Females,2016,1610
,Radviliškis d. mun.,Males,2016,3157
,,Females,2016,2915
,Šiauliai c. mun.,Males,2016,8094
,,Females,2016,7902
,Šiauliai d. mun.,Males,2016,3183
,,Females,2016,2984
,Tauragė county,Males,2016,8210
,,Females,2016,7703
,Jurbarkas d. mun.,Males,2016,2198
,,Females,2016,1957
,Pagėgiai mun.,Males,2016,674
,,Females,2016,714
,Šilalė d. mun.,Males,2016,2130
,,Females,2016,1930
,Tauragė d. mun.,Males,2016,3208
,,Females,2016,3102
,Telšiai county,Males,2016,11893
,,Females,2016,11312
,Mažeikiai d. mun.,Males,2016,4780
,,Females,2016,4575
,Plungė d. mun.,Males,2016,3003
,,Females,2016,2746
,Rietavas mun.,Males,2016,644
,,Females,2016,610
,Telšiai d. mun.,Males,2016,3466
,,Females,2016,3381
,Utena county,Males,2016,9108
,,Females,2016,8493
,Anykščiai d. mun.,Males,2016,1601
,,Females,2016,1482
,Ignalina d. mun.,Males,2016,1045
,,Females,2016,961
,Molėtai d. mun.,Males,2016,1188
,,Females,2016,1179
,Utena d. mun.,Males,2016,2562
,,Females,2016,2421
,Visaginas mun.,Males,2016,1565
,,Females,2016,1403
,Zarasai d. mun.,Males,2016,1147
,,Females,2016,1047
,Vilnius county,Males,2016,68609
,,Females,2016,65179
,Elektrėnai mun.,Males,2016,1934
,,Females,2016,1725
,Šalčininkai d. mun.,Males,2016,2853
,,Females,2016,2707
,Širvintos d. mun.,Males,2016,1146
,,Females,2016,1113
,Švenčionys d. mun.,Males,2016,1821
,,Females,2016,1609
,Trakai d. mun.,Males,2016,2822
,,Females,2016,2466
,Ukmergė d. mun.,Males,2016,2503
,,Females,2016,2425
,Vilnius c. mun.,Males,2016,46846
,,Females,2016,44868
,Vilnius d. mun.,Males,2016,8684
,,Females,2016,8266
Working-age population,Republic of Lithuania,Males,2016,887165
,,Females,2016,903179
,Alytus county,Males,2016,45130
,,Females,2016,43168
,Alytus t. mun.,Males,2016,16949
,,Females,2016,17407
,Alytus d. mun.,Males,2016,8599
,,Females,2016,7264
,Druskininkai mun.,Males,2016,5910
,,Females,2016,6481
,Lazdijai d. mun.,Males,2016,6434
,,Females,2016,5614
,Varėna d. mun.,Males,2016,7238
,,Females,2016,6402
,Kaunas county,Males,2016,174568
,,Females,2016,180570
,Birštonas mun.,Males,2016,1282
,,Females,2016,1303
,Jonava d. mun.,Males,2016,13199
,,Females,2016,13256
,Kaišiadorys d. mun.,Males,2016,11343
,,Females,2016,8672
,Kaunas c. mun.,Males,2016,85693
,,Females,2016,96648
,Kaunas d. mun.,Males,2016,29083
,,Females,2016,28296
,Kėdainiai d. mun.,Males,2016,14753
,,Females,2016,14444
,Prienai d. mun.,Males,2016,8631
,,Females,2016,7940
,Raseiniai d. mun.,Males,2016,10584
,,Females,2016,10011
,Klaipėda county,Males,2016,99017
,,Females,2016,101181
,Klaipėda c. mun.,Males,2016,45082
,,Females,2016,49433
,Klaipėda d. mun.,Males,2016,17804
,,Females,2016,16407
,Kretinga d. mun.,Males,2016,12037
,,Females,2016,11979
,Neringa mun.,Males,2016,1066
,,Females,2016,983
,Palanga t. mun.,Males,2016,4500
,,Females,2016,4783
,Skuodas d. mun.,Males,2016,5631
,,Females,2016,5127
,Šilutė d. mun.,Males,2016,12897
,,Females,2016,12469
,Marijampolė county,Males,2016,47213
,,Females,2016,44539
,Kalvarija mun.,Males,2016,3560
,,Females,2016,3316
,Kazlų Rūda mun.,Males,2016,3791
,,Females,2016,3630
,Marijampolė mun.,Males,2016,18334
,,Females,2016,17753
,Marijampolė d. mun.,Males,2016,
,,Females,2016,
,Šakiai d. mun.,Males,2016,9358
,,Females,2016,8666
,Vilkaviškis d. mun.,Males,2016,12170
,,Females,2016,11174
,Panevėžys county,Males,2016,70091
,,Females,2016,70010
,Biržai d. mun.,Males,2016,7555
,,Females,2016,7322
,Kupiškis d. mun.,Males,2016,5491
,,Females,2016,5341
,Panevėžys c. mun.,Males,2016,27043
,,Females,2016,30169
,Panevėžys d. mun.,Males,2016,12063
,,Females,2016,10746
,Pasvalys d. mun.,Males,2016,8083
,,Females,2016,7377
,Rokiškis d. mun.,Males,2016,9856
,,Females,2016,9055
,Šiauliai county,Males,2016,84267
,,Females,2016,84667
,Akmenė d. mun.,Males,2016,6186
,,Females,2016,6095
,Joniškis d. mun.,Males,2016,7144
,,Females,2016,6870
,Kelmė d. mun.,Males,2016,9024
,,Females,2016,8036
,Pakruojis d. mun.,Males,2016,6567
,,Females,2016,6093
,Radviliškis d. mun.,Males,2016,11805
,,Females,2016,11312
,Šiauliai c. mun.,Males,2016,30186
,,Females,2016,33812
,Šiauliai d. mun.,Males,2016,13355
,,Females,2016,12449
,Tauragė county,Males,2016,31831
,,Females,2016,30266
,Jurbarkas d. mun.,Males,2016,8555
,,Females,2016,7973
,Pagėgiai mun.,Males,2016,2752
,,Females,2016,2476
,Šilalė d. mun.,Males,2016,8000
,,Females,2016,7253
,Tauragė d. mun.,Males,2016,12524
,,Females,2016,12564
,Telšiai county,Males,2016,44189
,,Females,2016,43509
,Mažeikiai d. mun.,Males,2016,17344
,,Females,2016,17401
,Plungė d. mun.,Males,2016,11126
,,Females,2016,10890
,Rietavas mun.,Males,2016,2611
,,Females,2016,2336
,Telšiai d. mun.,Males,2016,13108
,,Females,2016,12882
,Utena county,Males,2016,43041
,,Females,2016,40130
,Anykščiai d. mun.,Males,2016,7957
,,Females,2016,7164
,Ignalina d. mun.,Males,2016,4974
,,Females,2016,4354
,Molėtai d. mun.,Males,2016,6128
,,Females,2016,5239
,Utena d. mun.,Males,2016,12540
,,Females,2016,12226
,Visaginas mun.,Males,2016,6306
,,Females,2016,6462
,Zarasai d. mun.,Males,2016,5136
,,Females,2016,4685
,Vilnius county,Males,2016,247818
,,Females,2016,265139
,Elektrėnai mun.,Males,2016,7617
,,Females,2016,7419
,Šalčininkai d. mun.,Males,2016,10548
,,Females,2016,9835
,Širvintos d. mun.,Males,2016,5225
,,Females,2016,4710
,Švenčionys d. mun.,Males,2016,7955
,,Females,2016,7365
,Trakai d. mun.,Males,2016,10474
,,Females,2016,10329
,Ukmergė d. mun.,Males,2016,10980
,,Females,2016,10426
,Vilnius c. mun.,Males,2016,163714
,,Females,2016,184956
,Vilnius d. mun.,Males,2016,31305
,,Females,2016,30099
Pension age population,Republic of Lithuania,Males,2016,210004
,,Females,2016,434706
,Alytus county,Males,2016,12153
,,Females,2016,24515
,Alytus t. mun.,Males,2016,4023
,,Females,2016,8345
,Alytus d. mun.,Males,2016,2540
,,Females,2016,4622
,Druskininkai mun.,Males,2016,1678
,,Females,2016,3617
,Lazdijai d. mun.,Males,2016,1863
,,Females,2016,3645
,Varėna d. mun.,Males,2016,2049
,,Females,2016,4286
