,,,Economic entities in operation at the beginning of the year | units
,Radviliškis d. mun.,2016,106
,Šiauliai c. mun.,2016,640
,Šiauliai d. mun.,2016,154
,Tauragė county,2016,378
,Jurbarkas d. mun.,2016,84
,Pagėgiai mun.,2016,16
,Šilalė d. mun.,2016,84
,Tauragė d. mun.,2016,194
,Telšiai county,2016,621
,Mažeikiai d. mun.,2016,275
,Plungė d. mun.,2016,149
,Rietavas mun.,2016,28
,Telšiai d. mun.,2016,169
,Utena county,2016,448
,Anykščiai d. mun.,2016,91
,Ignalina d. mun.,2016,37
,Molėtai d. mun.,2016,63
,Utena d. mun.,2016,145
,Visaginas mun.,2016,71
,Zarasai d. mun.,2016,41
,Vilnius county,2016,6628
,Elektrėnai mun.,2016,71
,Šalčininkai d. mun.,2016,91
,Širvintos d. mun.,2016,50
,Švenčionys d. mun.,2016,63
,Trakai d. mun.,2016,126
,Ukmergė d. mun.,2016,128
,Vilnius c. mun.,2016,5663
,Vilnius d. mun.,2016,436
10–19 employees,Republic of Lithuania,2016,8848
,Alytus county,2016,290
,Alytus t. mun.,2016,137
,Alytus d. mun.,2016,45
,Druskininkai mun.,2016,40
,Lazdijai d. mun.,2016,30
,Varėna d. mun.,2016,38
,Kaunas county,2016,1898
,Birštonas mun.,2016,14
,Jonava d. mun.,2016,80
,Kaišiadorys d. mun.,2016,56
,Kaunas c. mun.,2016,1307
,Kaunas d. mun.,2016,244
,Kėdainiai d. mun.,2016,85
,Prienai d. mun.,2016,50
,Raseiniai d. mun.,2016,62
,Klaipėda county,2016,1050
,Klaipėda c. mun.,2016,602
,Klaipėda d. mun.,2016,159
,Kretinga d. mun.,2016,86
,Neringa mun.,2016,17
,Palanga t. mun.,2016,64
,Skuodas d. mun.,2016,28
,Šilutė d. mun.,2016,94
,Marijampolė county,2016,278
,Kalvarija mun.,2016,18
,Kazlų Rūda mun.,2016,26
,Marijampolė mun.,2016,128
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,49
,Vilkaviškis d. mun.,2016,57
,Panevėžys county,2016,526
,Biržai d. mun.,2016,27
,Kupiškis d. mun.,2016,25
,Panevėžys c. mun.,2016,298
,Panevėžys d. mun.,2016,86
,Pasvalys d. mun.,2016,41
,Rokiškis d. mun.,2016,49
,Šiauliai county,2016,703
,Akmenė d. mun.,2016,35
,Joniškis d. mun.,2016,39
,Kelmė d. mun.,2016,54
,Pakruojis d. mun.,2016,39
,Radviliškis d. mun.,2016,72
,Šiauliai c. mun.,2016,372
,Šiauliai d. mun.,2016,92
,Tauragė county,2016,223
,Jurbarkas d. mun.,2016,52
,Pagėgiai mun.,2016,20
,Šilalė d. mun.,2016,45
,Tauragė d. mun.,2016,106
,Telšiai county,2016,361
,Mažeikiai d. mun.,2016,141
,Plungė d. mun.,2016,101
,Rietavas mun.,2016,20
