Age,Municipality,Sex,Time_period,Resident_population_at_the_beginning_of_the_year_persons,Country,County
Population (0–15 years),Alytus t. mun.,Males,2016,3924,Republic of Lithuania,Alytus county
Population (0–15 years),Alytus t. mun.,Females,2016,3783,Republic of Lithuania,Alytus county
Population (0–15 years),Alytus d. mun.,Males,2016,1941,Republic of Lithuania,Alytus county
Population (0–15 years),Alytus d. mun.,Females,2016,1865,Republic of Lithuania,Alytus county
Population (0–15 years),Druskininkai mun.,Males,2016,1350,Republic of Lithuania,Alytus county
Population (0–15 years),Druskininkai mun.,Females,2016,1364,Republic of Lithuania,Alytus county
Population (0–15 years),Lazdijai d. mun.,Males,2016,1434,Republic of Lithuania,Alytus county
Population (0–15 years),Lazdijai d. mun.,Females,2016,1448,Republic of Lithuania,Alytus county
Population (0–15 years),Varėna d. mun.,Males,2016,1554,Republic of Lithuania,Alytus county
Population (0–15 years),Varėna d. mun.,Females,2016,1480,Republic of Lithuania,Alytus county
Population (0–15 years),Birštonas mun.,Males,2016,287,Republic of Lithuania,Kaunas county
Population (0–15 years),Birštonas mun.,Females,2016,306,Republic of Lithuania,Kaunas county
Population (0–15 years),Jonava d. mun.,Males,2016,3703,Republic of Lithuania,Kaunas county
Population (0–15 years),Jonava d. mun.,Females,2016,3484,Republic of Lithuania,Kaunas county
Population (0–15 years),Kaišiadorys d. mun.,Males,2016,2329,Republic of Lithuania,Kaunas county
Population (0–15 years),Kaišiadorys d. mun.,Females,2016,2165,Republic of Lithuania,Kaunas county
Population (0–15 years),Kaunas c. mun.,Males,2016,23131,Republic of Lithuania,Kaunas county
Population (0–15 years),Kaunas c. mun.,Females,2016,22149,Republic of Lithuania,Kaunas county
Population (0–15 years),Kaunas d. mun.,Males,2016,8059,Republic of Lithuania,Kaunas county
Population (0–15 years),Kaunas d. mun.,Females,2016,7497,Republic of Lithuania,Kaunas county
Population (0–15 years),Kėdainiai d. mun.,Males,2016,3929,Republic of Lithuania,Kaunas county
Population (0–15 years),Kėdainiai d. mun.,Females,2016,3735,Republic of Lithuania,Kaunas county
Population (0–15 years),Prienai d. mun.,Males,2016,2017,Republic of Lithuania,Kaunas county
Population (0–15 years),Prienai d. mun.,Females,2016,1992,Republic of Lithuania,Kaunas county
Population (0–15 years),Raseiniai d. mun.,Males,2016,2601,Republic of Lithuania,Kaunas county
Population (0–15 years),Raseiniai d. mun.,Females,2016,2527,Republic of Lithuania,Kaunas county
Population (0–15 years),Klaipėda c. mun.,Males,2016,13177,Republic of Lithuania,Klaipeda county
Population (0–15 years),Klaipėda c. mun.,Females,2016,12441,Republic of Lithuania,Klaipeda county
Population (0–15 years),Klaipėda d. mun.,Males,2016,4952,Republic of Lithuania,Klaipeda county
Population (0–15 years),Klaipėda d. mun.,Females,2016,4606,Republic of Lithuania,Klaipeda county
Population (0–15 years),Kretinga d. mun.,Males,2016,3253,Republic of Lithuania,Klaipeda county
Population (0–15 years),Kretinga d. mun.,Females,2016,3130,Republic of Lithuania,Klaipeda county
Population (0–15 years),Neringa mun.,Males,2016,245,Republic of Lithuania,Klaipeda county
Population (0–15 years),Neringa mun.,Females,2016,213,Republic of Lithuania,Klaipeda county
Population (0–15 years),Palanga t. mun.,Males,2016,1131,Republic of Lithuania,Klaipeda county
Population (0–15 years),Palanga t. mun.,Females,2016,1102,Republic of Lithuania,Klaipeda county
Population (0–15 years),Skuodas d. mun.,Males,2016,1278,Republic of Lithuania,Klaipeda county
Population (0–15 years),Skuodas d. mun.,Females,2016,1353,Republic of Lithuania,Klaipeda county
Population (0–15 years),Šilutė d. mun.,Males,2016,3471,Republic of Lithuania,Klaipeda county
Population (0–15 years),Šilutė d. mun.,Females,2016,3385,Republic of Lithuania,Klaipeda county
Population (0–15 years),Kalvarija mun.,Males,2016,1064,Republic of Lithuania,Marijampole county
Population (0–15 years),Kalvarija mun.,Females,2016,973,Republic of Lithuania,Marijampole county
Population (0–15 years),Kazlų Rūda mun.,Males,2016,1102,Republic of Lithuania,Marijampole county
Population (0–15 years),Kazlų Rūda mun.,Females,2016,996,Republic of Lithuania,Marijampole county
Population (0–15 years),Marijampolė mun.,Males,2016,4707,Republic of Lithuania,Marijampole county
Population (0–15 years),Marijampolė mun.,Females,2016,4355,Republic of Lithuania,Marijampole county
Population (0–15 years),Marijampolė d. mun.,Males,2016,,Republic of Lithuania,Marijampole county
Population (0–15 years),Marijampolė d. mun.,Females,2016,,Republic of Lithuania,Marijampole county
Population (0–15 years),Šakiai d. mun.,Males,2016,2338,Republic of Lithuania,Marijampole county
Population (0–15 years),Šakiai d. mun.,Females,2016,2244,Republic of Lithuania,Marijampole county
Population (0–15 years),Vilkaviškis d. mun.,Males,2016,3110,Republic of Lithuania,Marijampole county
Population (0–15 years),Vilkaviškis d. mun.,Females,2016,2940,Republic of Lithuania,Marijampole county
Population (0–15 years),Biržai d. mun.,Males,2016,1870,Republic of Lithuania,Panevezys county
Population (0–15 years),Biržai d. mun.,Females,2016,1661,Republic of Lithuania,Panevezys county
Population (0–15 years),Kupiškis d. mun.,Males,2016,1245,Republic of Lithuania,Panevezys county
Population (0–15 years),Kupiškis d. mun.,Females,2016,1318,Republic of Lithuania,Panevezys county
Population (0–15 years),Panevėžys c. mun.,Males,2016,7127,Republic of Lithuania,Panevezys county
Population (0–15 years),Panevėžys c. mun.,Females,2016,6788,Republic of Lithuania,Panevezys county
Population (0–15 years),Panevėžys d. mun.,Males,2016,2831,Republic of Lithuania,Panevezys county
Population (0–15 years),Panevėžys d. mun.,Females,2016,2636,Republic of Lithuania,Panevezys county
Population (0–15 years),Pasvalys d. mun.,Males,2016,1953,Republic of Lithuania,Panevezys county
Population (0–15 years),Pasvalys d. mun.,Females,2016,1909,Republic of Lithuania,Panevezys county
Population (0–15 years),Rokiškis d. mun.,Males,2016,2101,Republic of Lithuania,Panevezys county
Population (0–15 years),Rokiškis d. mun.,Females,2016,2028,Republic of Lithuania,Panevezys county
Population (0–15 years),Akmenė d. mun.,Males,2016,1580,Republic of Lithuania,Siauliai county
Population (0–15 years),Akmenė d. mun.,Females,2016,1472,Republic of Lithuania,Siauliai county
Population (0–15 years),Joniškis d. mun.,Males,2016,1768,Republic of Lithuania,Siauliai county
Population (0–15 years),Joniškis d. mun.,Females,2016,1641,Republic of Lithuania,Siauliai county
Population (0–15 years),Kelmė d. mun.,Males,2016,2060,Republic of Lithuania,Siauliai county
Population (0–15 years),Kelmė d. mun.,Females,2016,1982,Republic of Lithuania,Siauliai county
Population (0–15 years),Pakruojis d. mun.,Males,2016,1562,Republic of Lithuania,Siauliai county
Population (0–15 years),Pakruojis d. mun.,Females,2016,1610,Republic of Lithuania,Siauliai county
Population (0–15 years),Radviliškis d. mun.,Males,2016,3157,Republic of Lithuania,Siauliai county
Population (0–15 years),Radviliškis d. mun.,Females,2016,2915,Republic of Lithuania,Siauliai county
Population (0–15 years),Šiauliai c. mun.,Males,2016,8094,Republic of Lithuania,Siauliai county
Population (0–15 years),Šiauliai c. mun.,Females,2016,7902,Republic of Lithuania,Siauliai county
Population (0–15 years),Šiauliai d. mun.,Males,2016,3183,Republic of Lithuania,Siauliai county
Population (0–15 years),Šiauliai d. mun.,Females,2016,2984,Republic of Lithuania,Siauliai county
Population (0–15 years),Jurbarkas d. mun.,Males,2016,2198,Republic of Lithuania,Taurage county
Population (0–15 years),Jurbarkas d. mun.,Females,2016,1957,Republic of Lithuania,Taurage county
Population (0–15 years),Pagėgiai mun.,Males,2016,674,Republic of Lithuania,Taurage county
Population (0–15 years),Pagėgiai mun.,Females,2016,714,Republic of Lithuania,Taurage county
Population (0–15 years),Šilalė d. mun.,Males,2016,2130,Republic of Lithuania,Taurage county
Population (0–15 years),Šilalė d. mun.,Females,2016,1930,Republic of Lithuania,Taurage county
Population (0–15 years),Tauragė d. mun.,Males,2016,3208,Republic of Lithuania,Taurage county
Population (0–15 years),Tauragė d. mun.,Females,2016,3102,Republic of Lithuania,Taurage county
Population (0–15 years),Mažeikiai d. mun.,Males,2016,4780,Republic of Lithuania,Telsiai county
Population (0–15 years),Mažeikiai d. mun.,Females,2016,4575,Republic of Lithuania,Telsiai county
Population (0–15 years),Plungė d. mun.,Males,2016,3003,Republic of Lithuania,Telsiai county
