Age,Municipality,Sex,Time_period,Resident_population_at_the_beginning_of_the_year_persons,Country,County
Population (0–15 years),Plungė d. mun.,Females,2016,2746,Republic of Lithuania,Telsiai county
Population (0–15 years),Rietavas mun.,Males,2016,644,Republic of Lithuania,Telsiai county
Population (0–15 years),Rietavas mun.,Females,2016,610,Republic of Lithuania,Telsiai county
Population (0–15 years),Telšiai d. mun.,Males,2016,3466,Republic of Lithuania,Telsiai county
Population (0–15 years),Telšiai d. mun.,Females,2016,3381,Republic of Lithuania,Telsiai county
Population (0–15 years),Anykščiai d. mun.,Males,2016,1601,Republic of Lithuania,Utena county
Population (0–15 years),Anykščiai d. mun.,Females,2016,1482,Republic of Lithuania,Utena county
Population (0–15 years),Ignalina d. mun.,Males,2016,1045,Republic of Lithuania,Utena county
Population (0–15 years),Ignalina d. mun.,Females,2016,961,Republic of Lithuania,Utena county
Population (0–15 years),Molėtai d. mun.,Males,2016,1188,Republic of Lithuania,Utena county
Population (0–15 years),Molėtai d. mun.,Females,2016,1179,Republic of Lithuania,Utena county
Population (0–15 years),Utena d. mun.,Males,2016,2562,Republic of Lithuania,Utena county
Population (0–15 years),Utena d. mun.,Females,2016,2421,Republic of Lithuania,Utena county
Population (0–15 years),Visaginas mun.,Males,2016,1565,Republic of Lithuania,Utena county
Population (0–15 years),Visaginas mun.,Females,2016,1403,Republic of Lithuania,Utena county
Population (0–15 years),Zarasai d. mun.,Males,2016,1147,Republic of Lithuania,Utena county
Population (0–15 years),Zarasai d. mun.,Females,2016,1047,Republic of Lithuania,Utena county
Population (0–15 years),Elektrėnai mun.,Males,2016,1934,Republic of Lithuania,Vilnius county
Population (0–15 years),Elektrėnai mun.,Females,2016,1725,Republic of Lithuania,Vilnius county
Population (0–15 years),Šalčininkai d. mun.,Males,2016,2853,Republic of Lithuania,Vilnius county
Population (0–15 years),Šalčininkai d. mun.,Females,2016,2707,Republic of Lithuania,Vilnius county
Population (0–15 years),Širvintos d. mun.,Males,2016,1146,Republic of Lithuania,Vilnius county
Population (0–15 years),Širvintos d. mun.,Females,2016,1113,Republic of Lithuania,Vilnius county
Population (0–15 years),Švenčionys d. mun.,Males,2016,1821,Republic of Lithuania,Vilnius county
Population (0–15 years),Švenčionys d. mun.,Females,2016,1609,Republic of Lithuania,Vilnius county
Population (0–15 years),Trakai d. mun.,Males,2016,2822,Republic of Lithuania,Vilnius county
Population (0–15 years),Trakai d. mun.,Females,2016,2466,Republic of Lithuania,Vilnius county
Population (0–15 years),Ukmergė d. mun.,Males,2016,2503,Republic of Lithuania,Vilnius county
Population (0–15 years),Ukmergė d. mun.,Females,2016,2425,Republic of Lithuania,Vilnius county
Population (0–15 years),Vilnius c. mun.,Males,2016,46846,Republic of Lithuania,Vilnius county
Population (0–15 years),Vilnius c. mun.,Females,2016,44868,Republic of Lithuania,Vilnius county
Population (0–15 years),Vilnius d. mun.,Males,2016,8684,Republic of Lithuania,Vilnius county
Population (0–15 years),Vilnius d. mun.,Females,2016,8266,Republic of Lithuania,Vilnius county
Working-age population,Alytus t. mun.,Males,2016,16949,Republic of Lithuania,Alytus county
Working-age population,Alytus t. mun.,Females,2016,17407,Republic of Lithuania,Alytus county
Working-age population,Alytus d. mun.,Males,2016,8599,Republic of Lithuania,Alytus county
Working-age population,Alytus d. mun.,Females,2016,7264,Republic of Lithuania,Alytus county
Working-age population,Druskininkai mun.,Males,2016,5910,Republic of Lithuania,Alytus county
Working-age population,Druskininkai mun.,Females,2016,6481,Republic of Lithuania,Alytus county
Working-age population,Lazdijai d. mun.,Males,2016,6434,Republic of Lithuania,Alytus county
Working-age population,Lazdijai d. mun.,Females,2016,5614,Republic of Lithuania,Alytus county
Working-age population,Varėna d. mun.,Males,2016,7238,Republic of Lithuania,Alytus county
Working-age population,Varėna d. mun.,Females,2016,6402,Republic of Lithuania,Alytus county
Working-age population,Birštonas mun.,Males,2016,1282,Republic of Lithuania,Kanuas county
Working-age population,Birštonas mun.,Females,2016,1303,Republic of Lithuania,Kanuas county
Working-age population,Jonava d. mun.,Males,2016,13199,Republic of Lithuania,Kanuas county
Working-age population,Jonava d. mun.,Females,2016,13256,Republic of Lithuania,Kanuas county
Working-age population,Kaišiadorys d. mun.,Males,2016,11343,Republic of Lithuania,Kanuas county
Working-age population,Kaišiadorys d. mun.,Females,2016,8672,Republic of Lithuania,Kanuas county
Working-age population,Kaunas c. mun.,Males,2016,85693,Republic of Lithuania,Kanuas county
Working-age population,Kaunas c. mun.,Females,2016,96648,Republic of Lithuania,Kanuas county
Working-age population,Kaunas d. mun.,Males,2016,29083,Republic of Lithuania,Kanuas county
Working-age population,Kaunas d. mun.,Females,2016,28296,Republic of Lithuania,Kanuas county
Working-age population,Kėdainiai d. mun.,Males,2016,14753,Republic of Lithuania,Kanuas county
Working-age population,Kėdainiai d. mun.,Females,2016,14444,Republic of Lithuania,Kanuas county
Working-age population,Prienai d. mun.,Males,2016,8631,Republic of Lithuania,Kanuas county
Working-age population,Prienai d. mun.,Females,2016,7940,Republic of Lithuania,Kanuas county
Working-age population,Raseiniai d. mun.,Males,2016,10584,Republic of Lithuania,Kanuas county
Working-age population,Raseiniai d. mun.,Females,2016,10011,Republic of Lithuania,Kanuas county
Working-age population,Klaipėda c. mun.,Males,2016,45082,Republic of Lithuania,Klaipeda county
Working-age population,Klaipėda c. mun.,Females,2016,49433,Republic of Lithuania,Klaipeda county
Working-age population,Klaipėda d. mun.,Males,2016,17804,Republic of Lithuania,Klaipeda county
Working-age population,Klaipėda d. mun.,Females,2016,16407,Republic of Lithuania,Klaipeda county
Working-age population,Kretinga d. mun.,Males,2016,12037,Republic of Lithuania,Klaipeda county
Working-age population,Kretinga d. mun.,Females,2016,11979,Republic of Lithuania,Klaipeda county
Working-age population,Neringa mun.,Males,2016,1066,Republic of Lithuania,Klaipeda county
Working-age population,Neringa mun.,Females,2016,983,Republic of Lithuania,Klaipeda county
Working-age population,Palanga t. mun.,Males,2016,4500,Republic of Lithuania,Klaipeda county
Working-age population,Palanga t. mun.,Females,2016,4783,Republic of Lithuania,Klaipeda county
Working-age population,Skuodas d. mun.,Males,2016,5631,Republic of Lithuania,Klaipeda county
Working-age population,Skuodas d. mun.,Females,2016,5127,Republic of Lithuania,Klaipeda county
Working-age population,Šilutė d. mun.,Males,2016,12897,Republic of Lithuania,Klaipeda county
Working-age population,Šilutė d. mun.,Females,2016,12469,Republic of Lithuania,Klaipeda county
Working-age population,Kalvarija mun.,Males,2016,3560,Republic of Lithuania,Marijampole county
Working-age population,Kalvarija mun.,Females,2016,3316,Republic of Lithuania,Marijampole county
Working-age population,Kazlų Rūda mun.,Males,2016,3791,Republic of Lithuania,Marijampole county
Working-age population,Kazlų Rūda mun.,Females,2016,3630,Republic of Lithuania,Marijampole county
Working-age population,Marijampolė mun.,Males,2016,18334,Republic of Lithuania,Marijampole county
Working-age population,Marijampolė mun.,Females,2016,17753,Republic of Lithuania,Marijampole county
Working-age population,Marijampolė d. mun.,Males,2016,,Republic of Lithuania,Marijampole county
Working-age population,Marijampolė d. mun.,Females,2016,,Republic of Lithuania,Marijampole county
Working-age population,Šakiai d. mun.,Males,2016,9358,Republic of Lithuania,Marijampole county
Working-age population,Šakiai d. mun.,Females,2016,8666,Republic of Lithuania,Marijampole county
Working-age population,Vilkaviškis d. mun.,Males,2016,12170,Republic of Lithuania,Marijampole county
Working-age population,Vilkaviškis d. mun.,Females,2016,11174,Republic of Lithuania,Marijampole county
Working-age population,Biržai d. mun.,Males,2016,7555,Republic of Lithuania,Panevezys county
Working-age population,Biržai d. mun.,Females,2016,7322,Republic of Lithuania,Panevezys county
Working-age population,Kupiškis d. mun.,Males,2016,5491,Republic of Lithuania,Panevezys county
Working-age population,Kupiškis d. mun.,Females,2016,5341,Republic of Lithuania,Panevezys county
Working-age population,Panevėžys c. mun.,Males,2016,27043,Republic of Lithuania,Panevezys county
Working-age population,Panevėžys c. mun.,Females,2016,30169,Republic of Lithuania,Panevezys county
Working-age population,Panevėžys d. mun.,Males,2016,12063,Republic of Lithuania,Panevezys county
Working-age population,Panevėžys d. mun.,Females,2016,10746,Republic of Lithuania,Panevezys county
Working-age population,Pasvalys d. mun.,Males,2016,8083,Republic of Lithuania,Panevezys county
Working-age population,Pasvalys d. mun.,Females,2016,7377,Republic of Lithuania,Panevezys county
Working-age population,Rokiškis d. mun.,Males,2016,9856,Republic of Lithuania,Panevezys county
Working-age population,Rokiškis d. mun.,Females,2016,9055,Republic of Lithuania,Panevezys county
Working-age population,Akmenė d. mun.,Males,2016,6186,Republic of Lithuania,Siauliai county
Working-age population,Akmenė d. mun.,Females,2016,6095,Republic of Lithuania,Siauliai county
Working-age population,Joniškis d. mun.,Males,2016,7144,Republic of Lithuania,Siauliai county
Working-age population,Joniškis d. mun.,Females,2016,6870,Republic of Lithuania,Siauliai county
Working-age population,Kelmė d. mun.,Males,2016,9024,Republic of Lithuania,Siauliai county
Working-age population,Kelmė d. mun.,Females,2016,8036,Republic of Lithuania,Siauliai county
Working-age population,Pakruojis d. mun.,Males,2016,6567,Republic of Lithuania,Siauliai county
Working-age population,Pakruojis d. mun.,Females,2016,6093,Republic of Lithuania,Siauliai county
Working-age population,Radviliškis d. mun.,Males,2016,11805,Republic of Lithuania,Siauliai county
Working-age population,Radviliškis d. mun.,Females,2016,11312,Republic of Lithuania,Siauliai county
Working-age population,Šiauliai c. mun.,Males,2016,30186,Republic of Lithuania,Siauliai county
Working-age population,Šiauliai c. mun.,Females,2016,33812,Republic of Lithuania,Siauliai county
Working-age population,Šiauliai d. mun.,Males,2016,13355,Republic of Lithuania,Siauliai county
Working-age population,Šiauliai d. mun.,Females,2016,12449,Republic of Lithuania,Siauliai county
Working-age population,Jurbarkas d. mun.,Males,2016,8555,Republic of Lithuania,Taurage county
Working-age population,Jurbarkas d. mun.,Females,2016,7973,Republic of Lithuania,Taurage county
Working-age population,Pagėgiai mun.,Males,2016,2752,Republic of Lithuania,Taurage county
Working-age population,Pagėgiai mun.,Females,2016,2476,Republic of Lithuania,Taurage county
Working-age population,Šilalė d. mun.,Males,2016,8000,Republic of Lithuania,Taurage county
Working-age population,Šilalė d. mun.,Females,2016,7253,Republic of Lithuania,Taurage county
Working-age population,Tauragė d. mun.,Males,2016,12524,Republic of Lithuania,Taurage county
Working-age population,Tauragė d. mun.,Females,2016,12564,Republic of Lithuania,Taurage county
Working-age population,Mažeikiai d. mun.,Males,2016,17344,Republic of Lithuania,Telsiai county
Working-age population,Mažeikiai d. mun.,Females,2016,17401,Republic of Lithuania,Telsiai county
Working-age population,Plungė d. mun.,Males,2016,11126,Republic of Lithuania,Telsiai county
Working-age population,Plungė d. mun.,Females,2016,10890,Republic of Lithuania,Telsiai county
Working-age population,Rietavas mun.,Males,2016,2611,Republic of Lithuania,Telsiai county
Working-age population,Rietavas mun.,Females,2016,2336,Republic of Lithuania,Telsiai county
Working-age population,Telšiai d. mun.,Males,2016,13108,Republic of Lithuania,Telsiai county
Working-age population,Telšiai d. mun.,Females,2016,12882,Republic of Lithuania,Telsiai county
Working-age population,Anykščiai d. mun.,Males,2016,7957,Republic of Lithuania,Utena county
Working-age population,Anykščiai d. mun.,Females,2016,7164,Republic of Lithuania,Utena county
Working-age population,Ignalina d. mun.,Males,2016,4974,Republic of Lithuania,Utena county
Working-age population,Ignalina d. mun.,Females,2016,4354,Republic of Lithuania,Utena county
Working-age population,Molėtai d. mun.,Males,2016,6128,Republic of Lithuania,Utena county
Working-age population,Molėtai d. mun.,Females,2016,5239,Republic of Lithuania,Utena county
Working-age population,Utena d. mun.,Males,2016,12540,Republic of Lithuania,Utena county
Working-age population,Utena d. mun.,Females,2016,12226,Republic of Lithuania,Utena county
Working-age population,Visaginas mun.,Males,2016,6306,Republic of Lithuania,Utena county
Working-age population,Visaginas mun.,Females,2016,6462,Republic of Lithuania,Utena county
Working-age population,Zarasai d. mun.,Males,2016,5136,Republic of Lithuania,Utena county
Working-age population,Zarasai d. mun.,Females,2016,4685,Republic of Lithuania,Utena county
Working-age population,Elektrėnai mun.,Males,2016,7617,Republic of Lithuania,Vilnius county
Working-age population,Elektrėnai mun.,Females,2016,7419,Republic of Lithuania,Vilnius county
Working-age population,Šalčininkai d. mun.,Males,2016,10548,Republic of Lithuania,Vilnius county
Working-age population,Šalčininkai d. mun.,Females,2016,9835,Republic of Lithuania,Vilnius county
Working-age population,Širvintos d. mun.,Males,2016,5225,Republic of Lithuania,Vilnius county
Working-age population,Širvintos d. mun.,Females,2016,4710,Republic of Lithuania,Vilnius county
Working-age population,Švenčionys d. mun.,Males,2016,7955,Republic of Lithuania,Vilnius county
Working-age population,Švenčionys d. mun.,Females,2016,7365,Republic of Lithuania,Vilnius county
Working-age population,Trakai d. mun.,Males,2016,10474,Republic of Lithuania,Vilnius county
Working-age population,Trakai d. mun.,Females,2016,10329,Republic of Lithuania,Vilnius county
Working-age population,Ukmergė d. mun.,Males,2016,10980,Republic of Lithuania,Vilnius county
Working-age population,Ukmergė d. mun.,Females,2016,10426,Republic of Lithuania,Vilnius county
Working-age population,Vilnius c. mun.,Males,2016,163714,Republic of Lithuania,Vilnius county
Working-age population,Vilnius c. mun.,Females,2016,184956,Republic of Lithuania,Vilnius county
Working-age population,Vilnius d. mun.,Males,2016,31305,Republic of Lithuania,Vilnius county
Working-age population,Vilnius d. mun.,Females,2016,30099,Republic of Lithuania,Vilnius county
Pension age population,Alytus t. mun.,Males,2016,4023,Republic of Lithuania,Alytus county
Pension age population,Alytus t. mun.,Females,2016,8345,Republic of Lithuania,Alytus county
Pension age population,Alytus d. mun.,Males,2016,2540,Republic of Lithuania,Alytus county
Pension age population,Alytus d. mun.,Females,2016,4622,Republic of Lithuania,Alytus county
Pension age population,Druskininkai mun.,Males,2016,1678,Republic of Lithuania,Alytus county
Pension age population,Druskininkai mun.,Females,2016,3617,Republic of Lithuania,Alytus county
Pension age population,Lazdijai d. mun.,Males,2016,1863,Republic of Lithuania,Alytus county
Pension age population,Lazdijai d. mun.,Females,2016,3645,Republic of Lithuania,Alytus county
Pension age population,Varėna d. mun.,Males,2016,2049,Republic of Lithuania,Alytus county
Pension age population,Varėna d. mun.,Females,2016,4286,Republic of Lithuania,Alytus county
Pension age population,Birštonas mun.,Males,2016,354,Republic of Lithuania,Kanuas county
Pension age population,Birštonas mun.,Females,2016,798,Republic of Lithuania,Kanuas county
Pension age population,Jonava d. mun.,Males,2016,3075,Republic of Lithuania,Kanuas county
Pension age population,Jonava d. mun.,Females,2016,6479,Republic of Lithuania,Kanuas county
Pension age population,Kaišiadorys d. mun.,Males,2016,2337,Republic of Lithuania,Kanuas county
Pension age population,Kaišiadorys d. mun.,Females,2016,4601,Republic of Lithuania,Kanuas county
Pension age population,Kaunas c. mun.,Males,2016,21677,Republic of Lithuania,Kanuas county
Pension age population,Kaunas c. mun.,Females,2016,48548,Republic of Lithuania,Kanuas county
Pension age population,Kaunas d. mun.,Males,2016,5876,Republic of Lithuania,Kanuas county
Pension age population,Kaunas d. mun.,Females,2016,10705,Republic of Lithuania,Kanuas county
Pension age population,Kėdainiai d. mun.,Males,2016,3905,Republic of Lithuania,Kanuas county
Pension age population,Kėdainiai d. mun.,Females,2016,8287,Republic of Lithuania,Kanuas county
Pension age population,Prienai d. mun.,Males,2016,2417,Republic of Lithuania,Kanuas county
Pension age population,Prienai d. mun.,Females,2016,4679,Republic of Lithuania,Kanuas county
Pension age population,Raseiniai d. mun.,Males,2016,2859,Republic of Lithuania,Kanuas county
Pension age population,Raseiniai d. mun.,Females,2016,5712,Republic of Lithuania,Kanuas county
Pension age population,Klaipėda c. mun.,Males,2016,11194,Republic of Lithuania,Klaipeda county
Pension age population,Klaipėda c. mun.,Females,2016,22999,Republic of Lithuania,Klaipeda county
Pension age population,Klaipėda d. mun.,Males,2016,3410,Republic of Lithuania,Klaipeda county
Pension age population,Klaipėda d. mun.,Females,2016,6280,Republic of Lithuania,Klaipeda county
Pension age population,Kretinga d. mun.,Males,2016,3000,Republic of Lithuania,Klaipeda county
Pension age population,Kretinga d. mun.,Females,2016,5722,Republic of Lithuania,Klaipeda county
Pension age population,Neringa mun.,Males,2016,182,Republic of Lithuania,Klaipeda county
Pension age population,Neringa mun.,Females,2016,331,Republic of Lithuania,Klaipeda county
Pension age population,Palanga t. mun.,Males,2016,1291,Republic of Lithuania,Klaipeda county
Pension age population,Palanga t. mun.,Females,2016,2735,Republic of Lithuania,Klaipeda county
Pension age population,Skuodas d. mun.,Males,2016,1655,Republic of Lithuania,Klaipeda county
Pension age population,Skuodas d. mun.,Females,2016,3013,Republic of Lithuania,Klaipeda county
Pension age population,Šilutė d. mun.,Males,2016,2908,Republic of Lithuania,Klaipeda county
Pension age population,Šilutė d. mun.,Females,2016,5963,Republic of Lithuania,Klaipeda county
Pension age population,Kalvarija mun.,Males,2016,759,Republic of Lithuania,Marijampole county
Pension age population,Kalvarija mun.,Females,2016,1635,Republic of Lithuania,Marijampole county
Pension age population,Kazlų Rūda mun.,Males,2016,966,Republic of Lithuania,Marijampole county
Pension age population,Kazlų Rūda mun.,Females,2016,1894,Republic of Lithuania,Marijampole county
Pension age population,Marijampolė mun.,Males,2016,3985,Republic of Lithuania,Marijampole county
Pension age population,Marijampolė mun.,Females,2016,7969,Republic of Lithuania,Marijampole county
Pension age population,Marijampolė d. mun.,Males,2016,,Republic of Lithuania,Marijampole county
Pension age population,Marijampolė d. mun.,Females,2016,,Republic of Lithuania,Marijampole county
Pension age population,Šakiai d. mun.,Males,2016,2394,Republic of Lithuania,Marijampole county
Pension age population,Šakiai d. mun.,Females,2016,4693,Republic of Lithuania,Marijampole county
Pension age population,Vilkaviškis d. mun.,Males,2016,3092,Republic of Lithuania,Marijampole county
Pension age population,Vilkaviškis d. mun.,Females,2016,6109,Republic of Lithuania,Marijampole county
Pension age population,Biržai d. mun.,Males,2016,2326,Republic of Lithuania,Panevezys county
Pension age population,Biržai d. mun.,Females,2016,4684,Republic of Lithuania,Panevezys county
Pension age population,Kupiškis d. mun.,Males,2016,1606,Republic of Lithuania,Panevezys county
Pension age population,Kupiškis d. mun.,Females,2016,3224,Republic of Lithuania,Panevezys county
Pension age population,Panevėžys c. mun.,Males,2016,6982,Republic of Lithuania,Panevezys county
Pension age population,Panevėžys c. mun.,Females,2016,15489,Republic of Lithuania,Panevezys county
Pension age population,Panevėžys d. mun.,Males,2016,3030,Republic of Lithuania,Panevezys county
Pension age population,Panevėžys d. mun.,Females,2016,5399,Republic of Lithuania,Panevezys county
Pension age population,Pasvalys d. mun.,Males,2016,2041,Republic of Lithuania,Panevezys county
Pension age population,Pasvalys d. mun.,Females,2016,4238,Republic of Lithuania,Panevezys county
Pension age population,Rokiškis d. mun.,Males,2016,2736,Republic of Lithuania,Panevezys county
Pension age population,Rokiškis d. mun.,Females,2016,5678,Republic of Lithuania,Panevezys county
Pension age population,Akmenė d. mun.,Males,2016,1768,Republic of Lithuania,Siauliai county
Pension age population,Akmenė d. mun.,Females,2016,3723,Republic of Lithuania,Siauliai county
Pension age population,Joniškis d. mun.,Males,2016,1904,Republic of Lithuania,Siauliai county
Pension age population,Joniškis d. mun.,Females,2016,3820,Republic of Lithuania,Siauliai county
Pension age population,Kelmė d. mun.,Males,2016,2594,Republic of Lithuania,Siauliai county
Pension age population,Kelmė d. mun.,Females,2016,4951,Republic of Lithuania,Siauliai county
Pension age population,Pakruojis d. mun.,Males,2016,1701,Republic of Lithuania,Siauliai county
