Municipality,Time_period,Foreign_direct_investment_per_capita_at_the_end_of_the_year_EUR,Country,County
Anykščiai d. mun.,2014,61,Republic of Lithuania,Utena county
Anykščiai d. mun.,2015,366,Republic of Lithuania,Utena county
Ignalina d. mun.,2014,214,Republic of Lithuania,Utena county
Ignalina d. mun.,2015,225,Republic of Lithuania,Utena county
Molėtai d. mun.,2014,61,Republic of Lithuania,Utena county
Molėtai d. mun.,2015,101,Republic of Lithuania,Utena county
Utena d. mun.,2014,5274,Republic of Lithuania,Utena county
Utena d. mun.,2015,4144,Republic of Lithuania,Utena county
Visaginas mun.,2014,476,Republic of Lithuania,Utena county
Visaginas mun.,2015,387,Republic of Lithuania,Utena county
Zarasai d. mun.,2014,60,Republic of Lithuania,Utena county
Zarasai d. mun.,2015,60,Republic of Lithuania,Utena county
Elektrėnai mun.,2014,3141,Republic of Lithuania,Vilnius county
Elektrėnai mun.,2015,3660,Republic of Lithuania,Vilnius county
Šalčininkai d. mun.,2014,3,Republic of Lithuania,Vilnius county
Šalčininkai d. mun.,2015,16,Republic of Lithuania,Vilnius county
Širvintos d. mun.,2014,41,Republic of Lithuania,Vilnius county
Širvintos d. mun.,2015,75,Republic of Lithuania,Vilnius county
Švenčionys d. mun.,2014,2157,Republic of Lithuania,Vilnius county
Švenčionys d. mun.,2015,2300,Republic of Lithuania,Vilnius county
Trakai d. mun.,2014,1507,Republic of Lithuania,Vilnius county
Trakai d. mun.,2015,1609,Republic of Lithuania,Vilnius county
Ukmergė d. mun.,2014,1224,Republic of Lithuania,Vilnius county
Ukmergė d. mun.,2015,1538,Republic of Lithuania,Vilnius county
Vilnius c. mun.,2014,15938,Republic of Lithuania,Vilnius county
Vilnius c. mun.,2015,16729,Republic of Lithuania,Vilnius county
Vilnius d. mun.,2014,2053,Republic of Lithuania,Vilnius county
Vilnius d. mun.,2015,1888,Republic of Lithuania,Vilnius county
